 0--1         0->1
 0--2         0->1->2
 0--4         0->8->9->10->11->12->4
 0--5         0->8->9->10->11->12->4->5
 0--6         0->8->9->10->11->12->4->5->6
 0--7         0->8->9->10->11->12->4->5->6->7
 0--8         0->8
 0--9         0->8->9
 0--10         0->8->9->10
 0--11         0->8->9->10->11
 0--12         0->8->9->10->11->12
 0--13         0->8->9->10->11->12->13
 0--14         0->8->9->10->11->12->13->14
 0--15         0->8->9->10->11->12->13->14->15
 0--16         0->8->16
 0--17         0->8->16->17
 0--19         0->8->9->10->11->19
 0--20         0->8->9->10->11->19->20
 0--21         0->8->9->10->11->19->20->21
 0--22         0->8->9->10->11->19->20->21->22
 0--23         0->8->9->10->11->19->20->21->22->23
 0--24         0->8->16->24
 0--25         0->8->16->24->25
 0--26         0->8->16->24->25->26
 0--27         0->8->16->24->25->26->27
 0--28         0->8->16->24->25->26->27->28
 0--29         0->8->16->24->25->26->27->28->29
 0--30         0->8->16->24->25->26->27->28->29->30
 0--31         0->8->16->24->25->26->27->28->29->30->31
 0--32         0->8->16->24->32
 0--33         0->8->16->24->32->33
 0--34         0->8->16->24->32->33->34
 0--36         0->8->16->24->25->26->27->28->36
 0--37         0->8->16->24->25->26->27->28->36->37
 0--38         0->8->16->24->25->26->27->28->36->37->38
 0--39         0->8->16->24->25->26->27->28->36->37->38->39
 0--40         0->8->16->24->32->40
 0--41         0->8->16->24->32->40->41
 0--42         0->8->16->24->32->40->41->42
 0--43         0->8->16->24->32->40->41->42->43
 0--44         0->8->16->24->32->40->41->42->43->44
 0--45         0->8->16->24->32->40->41->42->43->44->45
 0--46         0->8->16->24->32->40->41->42->43->44->45->46
 0--47         0->8->16->24->32->40->41->42->43->44->45->46->47
 0--48         0->8->16->24->32->40->48
 0--49         0->8->16->24->32->40->48->49
 0--50         0->8->16->24->32->40->48->49->50
 0--51         0->8->16->24->32->40->48->49->50->51
 0--52         0->8->16->24->32->40->48->49->50->51->52
 0--53         0->8->16->24->32->40->48->49->50->51->52->53
 0--54         0->8->16->24->32->40->48->49->50->51->52->53->54
 0--55         0->8->16->24->32->40->48->49->50->51->52->53->54->55
 0--56         0->8->16->24->32->40->48->56
 0--57         0->8->16->24->32->40->48->56->57
 0--58         0->8->16->24->32->40->48->56->57->58
 0--59         0->8->16->24->32->40->48->56->57->58->59
 0--60         0->8->16->24->32->40->48->56->57->58->59->60
 0--61         0->8->16->24->32->40->48->56->57->58->59->60->61
 0--62         0->8->16->24->32->40->48->56->57->58->59->60->61->62
 0--63         0->8->16->24->32->40->48->56->57->58->59->60->61->62->63
 1--0         1->0
 1--2         1->2
 1--4         1->9->10->11->12->4
 1--5         1->9->10->11->12->4->5
 1--6         1->9->10->11->12->4->5->6
 1--7         1->9->10->11->12->4->5->6->7
 1--8         1->9->8
 1--9         1->9
 1--10         1->9->10
 1--11         1->9->10->11
 1--12         1->9->10->11->12
 1--13         1->9->10->11->12->13
 1--14         1->9->10->11->12->13->14
 1--15         1->9->10->11->12->13->14->15
 1--16         1->9->17->16
 1--17         1->9->17
 1--19         1->9->10->11->19
 1--20         1->9->10->11->19->20
 1--21         1->9->10->11->19->20->21
 1--22         1->9->10->11->19->20->21->22
 1--23         1->9->10->11->19->20->21->22->23
 1--24         1->9->17->25->24
 1--25         1->9->17->25
 1--26         1->9->17->25->26
 1--27         1->9->17->25->26->27
 1--28         1->9->17->25->26->27->28
 1--29         1->9->17->25->26->27->28->29
 1--30         1->9->17->25->26->27->28->29->30
 1--31         1->9->17->25->26->27->28->29->30->31
 1--32         1->9->17->25->33->32
 1--33         1->9->17->25->33
 1--34         1->9->17->25->33->34
 1--36         1->9->17->25->26->27->28->36
 1--37         1->9->17->25->26->27->28->36->37
 1--38         1->9->17->25->26->27->28->36->37->38
 1--39         1->9->17->25->26->27->28->36->37->38->39
 1--40         1->9->17->25->33->41->40
 1--41         1->9->17->25->33->41
 1--42         1->9->17->25->33->41->42
 1--43         1->9->17->25->33->41->42->43
 1--44         1->9->17->25->33->41->42->43->44
 1--45         1->9->17->25->33->41->42->43->44->45
 1--46         1->9->17->25->33->41->42->43->44->45->46
 1--47         1->9->17->25->33->41->42->43->44->45->46->47
 1--48         1->9->17->25->33->41->49->48
 1--49         1->9->17->25->33->41->49
 1--50         1->9->17->25->33->41->49->50
 1--51         1->9->17->25->33->41->49->50->51
 1--52         1->9->17->25->33->41->49->50->51->52
 1--53         1->9->17->25->33->41->49->50->51->52->53
 1--54         1->9->17->25->33->41->49->50->51->52->53->54
 1--55         1->9->17->25->33->41->49->50->51->52->53->54->55
 1--56         1->9->17->25->33->41->49->57->56
 1--57         1->9->17->25->33->41->49->57
 1--58         1->9->17->25->33->41->49->57->58
 1--59         1->9->17->25->33->41->49->57->58->59
 1--60         1->9->17->25->33->41->49->57->58->59->60
 1--61         1->9->17->25->33->41->49->57->58->59->60->61
 1--62         1->9->17->25->33->41->49->57->58->59->60->61->62
 1--63         1->9->17->25->33->41->49->57->58->59->60->61->62->63
 2--0         2->1->0
 2--1         2->1
 2--4         2->10->11->12->4
 2--5         2->10->11->12->4->5
 2--6         2->10->11->12->4->5->6
 2--7         2->10->11->12->4->5->6->7
 2--8         2->10->9->8
 2--9         2->10->9
 2--10         2->10
 2--11         2->10->11
 2--12         2->10->11->12
 2--13         2->10->11->12->13
 2--14         2->10->11->12->13->14
 2--15         2->10->11->12->13->14->15
 2--16         2->10->9->17->16
 2--17         2->10->9->17
 2--19         2->10->11->19
 2--20         2->10->11->19->20
 2--21         2->10->11->19->20->21
 2--22         2->10->11->19->20->21->22
 2--23         2->10->11->19->20->21->22->23
 2--24         2->10->9->17->25->24
 2--25         2->10->9->17->25
 2--26         2->10->11->19->27->26
 2--27         2->10->11->19->27
 2--28         2->10->11->19->27->28
 2--29         2->10->11->19->27->28->29
 2--30         2->10->11->19->27->28->29->30
 2--31         2->10->11->19->27->28->29->30->31
 2--32         2->10->9->17->25->33->32
 2--33         2->10->9->17->25->33
 2--34         2->10->11->19->27->26->34
 2--36         2->10->11->19->27->28->36
 2--37         2->10->11->19->27->28->36->37
 2--38         2->10->11->19->27->28->36->37->38
 2--39         2->10->11->19->27->28->36->37->38->39
 2--40         2->10->9->17->25->33->41->40
 2--41         2->10->9->17->25->33->41
 2--42         2->10->11->19->27->26->34->42
 2--43         2->10->11->19->27->28->36->44->43
 2--44         2->10->11->19->27->28->36->44
 2--45         2->10->11->19->27->28->36->44->45
 2--46         2->10->11->19->27->28->36->44->45->46
 2--47         2->10->11->19->27->28->36->44->45->46->47
 2--48         2->10->9->17->25->33->41->49->48
 2--49         2->10->9->17->25->33->41->49
 2--50         2->10->11->19->27->26->34->42->50
 2--51         2->10->11->19->27->28->36->44->52->51
 2--52         2->10->11->19->27->28->36->44->52
 2--53         2->10->11->19->27->28->36->44->52->53
 2--54         2->10->11->19->27->28->36->44->52->53->54
 2--55         2->10->11->19->27->28->36->44->52->53->54->55
 2--56         2->10->9->17->25->33->41->49->57->56
 2--57         2->10->9->17->25->33->41->49->57
 2--58         2->10->11->19->27->26->34->42->50->58
 2--59         2->10->11->19->27->28->36->44->52->60->59
 2--60         2->10->11->19->27->28->36->44->52->60
 2--61         2->10->11->19->27->28->36->44->52->60->61
 2--62         2->10->11->19->27->28->36->44->52->60->61->62
 2--63         2->10->11->19->27->28->36->44->52->60->61->62->63
 4--0         4->12->11->10->2->1->0
 4--1         4->12->11->10->2->1
 4--2         4->12->11->10->2
 4--5         4->5
 4--6         4->5->6
 4--7         4->5->6->7
 4--8         4->12->11->10->9->8
 4--9         4->12->11->10->9
 4--10         4->12->11->10
 4--11         4->12->11
 4--12         4->12
 4--13         4->12->13
 4--14         4->12->13->14
 4--15         4->12->13->14->15
 4--16         4->12->11->10->9->17->16
 4--17         4->12->11->10->9->17
 4--19         4->12->20->19
 4--20         4->12->20
 4--21         4->12->20->21
 4--22         4->12->20->21->22
 4--23         4->12->20->21->22->23
 4--24         4->12->20->28->27->26->25->24
 4--25         4->12->20->28->27->26->25
 4--26         4->12->20->28->27->26
 4--27         4->12->20->28->27
 4--28         4->12->20->28
 4--29         4->12->20->28->29
 4--30         4->12->20->28->29->30
 4--31         4->12->20->28->29->30->31
 4--32         4->12->20->28->27->26->34->33->32
 4--33         4->12->20->28->27->26->34->33
 4--34         4->12->20->28->27->26->34
 4--36         4->12->20->28->36
 4--37         4->12->20->28->36->37
 4--38         4->12->20->28->36->37->38
 4--39         4->12->20->28->36->37->38->39
 4--40         4->12->20->28->36->44->43->42->41->40
 4--41         4->12->20->28->36->44->43->42->41
 4--42         4->12->20->28->36->44->43->42
 4--43         4->12->20->28->36->44->43
 4--44         4->12->20->28->36->44
 4--45         4->12->20->28->36->44->45
 4--46         4->12->20->28->36->44->45->46
 4--47         4->12->20->28->36->44->45->46->47
 4--48         4->12->20->28->36->44->52->51->50->49->48
 4--49         4->12->20->28->36->44->52->51->50->49
 4--50         4->12->20->28->36->44->52->51->50
 4--51         4->12->20->28->36->44->52->51
 4--52         4->12->20->28->36->44->52
 4--53         4->12->20->28->36->44->52->53
 4--54         4->12->20->28->36->44->52->53->54
 4--55         4->12->20->28->36->44->52->53->54->55
 4--56         4->12->20->28->36->44->52->60->59->58->57->56
