router[0][0][0]	uP_mem[0][0][0]	uP_mac[0][0][0]	router[1][0][0]	uP_mem[1][0][0]	uP_mac[1][0][0]	router[2][0][0]	uP_mem[2][0][0]	uP_mac[2][0][0]	router[3][0][0]	uP_mem[3][0][0]	uP_mac[3][0][0]	router[4][0][0]	uP_mem[4][0][0]	uP_mac[4][0][0]	router[5][0][0]	uP_mem[5][0][0]	uP_mac[5][0][0]	router[6][0][0]	uP_mem[6][0][0]	uP_mac[6][0][0]	router[7][0][0]	uP_mem[7][0][0]	uP_mac[7][0][0]	router[0][1][0]	uP_mem[0][1][0]	uP_mac[0][1][0]	router[1][1][0]	uP_mem[1][1][0]	uP_mac[1][1][0]	router[2][1][0]	uP_mem[2][1][0]	uP_mac[2][1][0]	router[3][1][0]	uP_mem[3][1][0]	uP_mac[3][1][0]	router[4][1][0]	uP_mem[4][1][0]	uP_mac[4][1][0]	router[5][1][0]	uP_mem[5][1][0]	uP_mac[5][1][0]	router[6][1][0]	uP_mem[6][1][0]	uP_mac[6][1][0]	router[7][1][0]	uP_mem[7][1][0]	uP_mac[7][1][0]	router[0][2][0]	uP_mem[0][2][0]	uP_mac[0][2][0]	router[1][2][0]	uP_mem[1][2][0]	uP_mac[1][2][0]	router[2][2][0]	uP_mem[2][2][0]	uP_mac[2][2][0]	router[3][2][0]	uP_mem[3][2][0]	uP_mac[3][2][0]	router[4][2][0]	uP_mem[4][2][0]	uP_mac[4][2][0]	router[5][2][0]	uP_mem[5][2][0]	uP_mac[5][2][0]	router[6][2][0]	uP_mem[6][2][0]	uP_mac[6][2][0]	router[7][2][0]	uP_mem[7][2][0]	uP_mac[7][2][0]	router[0][3][0]	uP_mem[0][3][0]	uP_mac[0][3][0]	router[1][3][0]	uP_mem[1][3][0]	uP_mac[1][3][0]	router[2][3][0]	uP_mem[2][3][0]	uP_mac[2][3][0]	router[3][3][0]	uP_mem[3][3][0]	uP_mac[3][3][0]	router[4][3][0]	uP_mem[4][3][0]	uP_mac[4][3][0]	router[5][3][0]	uP_mem[5][3][0]	uP_mac[5][3][0]	router[6][3][0]	uP_mem[6][3][0]	uP_mac[6][3][0]	router[7][3][0]	uP_mem[7][3][0]	uP_mac[7][3][0]	router[0][4][0]	uP_mem[0][4][0]	uP_mac[0][4][0]	router[1][4][0]	uP_mem[1][4][0]	uP_mac[1][4][0]	router[2][4][0]	uP_mem[2][4][0]	uP_mac[2][4][0]	router[3][4][0]	uP_mem[3][4][0]	uP_mac[3][4][0]	router[4][4][0]	uP_mem[4][4][0]	uP_mac[4][4][0]	router[5][4][0]	uP_mem[5][4][0]	uP_mac[5][4][0]	router[6][4][0]	uP_mem[6][4][0]	uP_mac[6][4][0]	router[7][4][0]	uP_mem[7][4][0]	uP_mac[7][4][0]	router[0][5][0]	uP_mem[0][5][0]	uP_mac[0][5][0]	router[1][5][0]	uP_mem[1][5][0]	uP_mac[1][5][0]	router[2][5][0]	uP_mem[2][5][0]	uP_mac[2][5][0]	router[3][5][0]	uP_mem[3][5][0]	uP_mac[3][5][0]	router[4][5][0]	uP_mem[4][5][0]	uP_mac[4][5][0]	router[5][5][0]	uP_mem[5][5][0]	uP_mac[5][5][0]	router[6][5][0]	uP_mem[6][5][0]	uP_mac[6][5][0]	router[7][5][0]	uP_mem[7][5][0]	uP_mac[7][5][0]	router[0][6][0]	uP_mem[0][6][0]	uP_mac[0][6][0]	router[1][6][0]	uP_mem[1][6][0]	uP_mac[1][6][0]	router[2][6][0]	uP_mem[2][6][0]	uP_mac[2][6][0]	router[3][6][0]	uP_mem[3][6][0]	uP_mac[3][6][0]	router[4][6][0]	uP_mem[4][6][0]	uP_mac[4][6][0]	router[5][6][0]	uP_mem[5][6][0]	uP_mac[5][6][0]	router[6][6][0]	uP_mem[6][6][0]	uP_mac[6][6][0]	router[7][6][0]	uP_mem[7][6][0]	uP_mac[7][6][0]	router[0][7][0]	uP_mem[0][7][0]	uP_mac[0][7][0]	router[1][7][0]	uP_mem[1][7][0]	uP_mac[1][7][0]	router[2][7][0]	uP_mem[2][7][0]	uP_mac[2][7][0]	router[3][7][0]	uP_mem[3][7][0]	uP_mac[3][7][0]	router[4][7][0]	uP_mem[4][7][0]	uP_mac[4][7][0]	router[5][7][0]	uP_mem[5][7][0]	uP_mac[5][7][0]	router[6][7][0]	uP_mem[6][7][0]	uP_mac[6][7][0]	router[7][7][0]	uP_mem[7][7][0]	uP_mac[7][7][0]	
0.0305681	0.00725	0.011875	0.0175	0.00725	0.011875	0.0305681	0.00725	0.011875	0.0305681	0.00725	0.011875	0.0307465	0.00725	0.011875	0.0307465	0.00725	0.011875	0.0305681	0.00725	0.011875	0.0305681	0.00725	0.011875	0.0438146	0.00725	0.011875	0.0307465	0.00725	0.011875	0.0436363	0.00725	0.011875	0.0436363	0.00725	0.011875	0.0439929	0.00725	0.011875	0.0439929	0.00725	0.011875	0.0436363	0.00725	0.011875	0.0436363	0.00725	0.011875	0.0570611	0.00725	0.011875	0.0439929	0.00725	0.011875	0.0567044	0.00725	0.011875	0.0567044	0.00725	0.011875	0.0572394	0.00725	0.011875	0.0572394	0.00725	0.011875	0.0567044	0.00725	0.011875	0.0567044	0.00725	0.011875	0.0703075	0.00725	0.011875	0.0572394	0.00725	0.011875	0.0697725	0.00725	0.011875	0.0697725	0.00725	0.011875	0.0703075	0.00725	0.011875	0.0703075	0.00725	0.011875	0.0697725	0.00725	0.011875	0.0697725	0.00725	0.011875	0.0751262	0.00725	0.011875	0.313108	0.153998	0.280007	0.378692	0.154479	0.280886	0.404828	0.154479	0.280886	0.418075	0.154479	0.280886	0.40465	0.154479	0.280886	0.351664	0.154479	0.280886	0.285902	0.153998	0.280007	0.199313	0.130422	0.23693	0.407914	0.294009	0.535831	0.527589	0.294009	0.535831	0.594992	0.294009	0.535831	0.610123	0.294009	0.535831	0.572981	0.294009	0.535831	0.470498	0.294009	0.535831	0.315743	0.294009	0.535831	0.205011	0.294009	0.535831	0.337754	0.294009	0.535831	0.418226	0.294009	0.535831	0.442128	0.294009	0.535831	0.35977	0.153517	0.279127	0.307498	0.153517	0.279127	0.231261	0.104921	0.190336	0.141503	0.104921	0.190336	0.0393725	0.0365995	0.0655013	0.0381964	0.027939	0.0496772	0.0279902	0.00725	0.011875	0.0279902	0.00725	0.011875	0.0279902	0.00725	0.011875	0.0279902	0.00725	0.011875	0.0279902	0.00725	0.011875	0.0279902	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	0.0175	0.00725	0.011875	
